,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
5241,2023-12-29T08:28:00.970Z,38.8263321,-122.8013306,2.42,0.78,md,18.0,47.0,0.007433,0.02,nc,nc73982526,2023-12-29T09:16:13.710Z,"7 km NW of The Geysers, CA",earthquake,0.24,0.55,0.13,18.0,automatic,nc,nc
5254,2023-12-29T07:45:37.810Z,38.8188333,-122.7976667,3.43,0.53,md,28.0,31.0,0.01071,0.03,nc,nc73982486,2024-01-04T23:45:10.851Z,"6 km NW of The Geysers, CA",earthquake,0.2,0.45,0.101,23.0,reviewed,nc,nc
5260,2023-12-29T07:36:47.620Z,38.8173333,-122.7976667,3.84,0.5,md,26.0,48.0,0.009532,0.04,nc,nc73982471,2024-01-02T22:14:10.173Z,"6 km NW of The Geysers, CA",earthquake,0.22,0.27,0.156,24.0,reviewed,nc,nc
5462,2023-12-28T20:27:49.960Z,38.8175011,-122.8125,2.78,0.96,md,17.0,44.0,0.01562,0.01,nc,nc73982151,2023-12-28T20:44:13.146Z,"7 km NW of The Geysers, CA",earthquake,0.28,0.72,0.32,18.0,automatic,nc,nc
5792,2023-12-27T23:26:41.390Z,38.8171667,-122.7968333,2.47,0.76,md,25.0,49.0,0.009263,0.01,nc,nc73981926,2024-01-04T22:47:11.508Z,"6 km NW of The Geysers, CA",earthquake,0.2,0.36,0.254,22.0,reviewed,nc,nc
5894,2023-12-27T16:39:17.840Z,38.8226667,-122.802,3.12,0.93,md,23.0,47.0,0.006349,0.02,nc,nc73981816,2024-01-04T18:02:10.895Z,"6 km NW of The Geysers, CA",earthquake,0.23,0.51,0.251,21.0,reviewed,nc,nc
6337,2023-12-26T07:52:13.370Z,37.291,-121.6685,1.4,0.9,md,25.0,40.0,0.03217,0.08,nc,nc73981216,2023-12-26T19:07:11.294Z,"15 km E of Seven Trees, CA",earthquake,0.19,0.35,0.143,21.0,reviewed,nc,nc
6661,2023-12-25T09:05:03.680Z,38.8266667,-122.7956667,2.61,0.99,md,40.0,27.0,0.01172,0.03,nc,nc73980766,2024-01-03T19:03:12.542Z,"6 km W of Cobb, CA",earthquake,0.15,0.27,0.175,34.0,reviewed,nc,nc
6705,2023-12-25T06:25:04.150Z,38.8180008,-122.8205032,2.27,0.76,md,18.0,48.0,0.009767,0.02,nc,nc73980716,2023-12-25T08:04:10.795Z,"7 km NW of The Geysers, CA",earthquake,0.28,0.53,0.32,18.0,automatic,nc,nc
6865,2023-12-24T17:41:45.310Z,38.8231667,-122.8125,1.58,0.38,md,23.0,39.0,0.001909,0.02,nc,nc73980431,2023-12-30T00:10:13.429Z,"7 km NW of The Geysers, CA",earthquake,0.16,0.24,0.205,23.0,reviewed,nc,nc
7044,2023-12-24T03:51:15.480Z,38.8316667,-122.8141667,1.67,0.89,md,35.0,43.0,0.008857,0.04,nc,nc73980216,2024-01-02T19:23:14.090Z,"8 km NW of The Geysers, CA",earthquake,0.14,0.25,0.126,32.0,reviewed,nc,nc
7303,2023-12-23T10:31:31.440Z,38.824,-122.8013333,2.56,0.43,md,23.0,48.0,0.006854,0.02,nc,nc73979826,2023-12-30T04:04:16.794Z,"6 km NW of The Geysers, CA",earthquake,0.22,0.45,0.323,23.0,reviewed,nc,nc
7982,2023-12-21T13:47:11.340Z,38.8141667,-122.8138333,2.72,0.15,md,26.0,49.0,0.009671,0.02,nc,nc73978936,2023-12-28T23:08:10.937Z,"6 km NW of The Geysers, CA",earthquake,0.17,0.37,0.222,24.0,reviewed,nc,nc
7983,2023-12-21T13:44:08.840Z,38.8146667,-122.8143333,2.94,0.48,md,29.0,48.0,0.009329,0.03,nc,nc73978931,2023-12-28T20:55:11.201Z,"6 km NW of The Geysers, CA",earthquake,0.17,0.36,0.085,28.0,reviewed,nc,nc
8472,2023-12-20T06:03:36.820Z,37.222,-121.6091667,4.83,0.56,md,15.0,42.0,0.06004,0.07,nc,nc73978476,2023-12-20T11:11:17.674Z,"11 km NNE of Morgan Hill, CA",earthquake,0.26,0.77,0.121,13.0,reviewed,nc,nc
